timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686050350651,410,Escolher o Voo,200,OK,Usuários Carga 1-101,text,true,,6719,267,197,197,https://www.blazedemo.com/purchase.php,397,0,0
1686050350611,453,Escolher Origem e Destino,200,OK,Usuários Carga 1-118,text,true,,7245,214,197,197,https://www.blazedemo.com/reserve.php,433,0,0
1686050350908,156,Acessar Site,429,Too Many Requests,Usuários Carga 1-14,text,false,,212,119,197,197,https://www.blazedemo.com/,156,0,0
1686050350909,157,Escolher Origem e Destino,429,Too Many Requests,Usuários Carga 1-157,text,false,,212,214,197,197,https://www.blazedemo.com/reserve.php,157,0,0
1686050350486,589,Acessar Site,200,OK,Usuários Carga 1-22,text,true,,4757,119,198,198,https://www.blazedemo.com/,578,0,0
1686050350410,665,Escolher o Voo,429,Too Many Requests,Usuários Carga 1-59,text,false,,212,267,198,198,https://www.blazedemo.com/purchase.php,665,0,0
1686050350354,725,Acessar Site,200,OK,Usuários Carga 1-138,text,true,,4757,119,198,198,https://www.blazedemo.com/,714,0,191
1686050350625,460,Escolher o Voo,200,OK,Usuários Carga 1-92,text,true,,6719,267,199,199,https://www.blazedemo.com/purchase.php,448,0,0
1686050350484,601,Acessar Site,200,OK,Usuários Carga 1-149,text,true,,4757,119,199,199,https://www.blazedemo.com/,589,0,159
1686050350509,578,Acessar Site,200,OK,Usuários Carga 1-151,text,true,,4757,119,199,199,https://www.blazedemo.com/,566,0,166
1686050349829,1269,Escolher Origem e Destino,200,OK,Usuários Carga 1-45,text,true,,7245,214,200,200,https://www.blazedemo.com/reserve.php,1250,0,0
1686050350940,158,Escolher o Voo,429,Too Many Requests,Usuários Carga 1-72,text,false,,212,267,200,200,https://www.blazedemo.com/purchase.php,158,0,0
1686050350938,160,Escolher Origem e Destino,429,Too Many Requests,Usuários Carga 1-142,text,false,,212,214,200,200,https://www.blazedemo.com/reserve.php,160,0,0
1686050350657,441,Confirmar Reserva,200,OK,Usuários Carga 1-50,text,true,,5780,376,200,200,https://www.blazedemo.com/confirmation.php,428,0,0
1686050350507,591,Escolher o Voo,200,OK,Usuários Carga 1-32,text,true,,6719,267,200,200,https://www.blazedemo.com/purchase.php,578,0,0
1686050350689,413,Escolher o Voo,200,OK,Usuários Carga 1-74,text,true,,6719,267,200,200,https://www.blazedemo.com/purchase.php,400,0,0
1686050350669,434,Confirmar Reserva,200,OK,Usuários Carga 1-38,text,true,,5780,376,200,200,https://www.blazedemo.com/confirmation.php,423,0,0
1686050350641,469,Acessar Site,200,OK,Usuários Carga 1-162,text,true,,4757,119,201,201,https://www.blazedemo.com/,457,0,155
1686050350561,551,Confirmar Reserva,200,OK,Usuários Carga 1-27,text,true,,5780,376,201,201,https://www.blazedemo.com/confirmation.php,537,0,0
1686050349707,1405,Acessar Site,200,OK,Usuários Carga 1-84,text,true,,4757,119,201,201,https://www.blazedemo.com/,1393,0,158
1686050350668,450,Escolher o Voo,200,OK,Usuários Carga 1-98,text,true,,6719,267,201,201,https://www.blazedemo.com/purchase.php,437,0,0
1686050350610,508,Escolher o Voo,200,OK,Usuários Carga 1-68,text,true,,6719,267,201,201,https://www.blazedemo.com/purchase.php,496,0,0
1686050350652,470,Confirmar Reserva,200,OK,Usuários Carga 1-62,text,true,,5780,376,202,202,https://www.blazedemo.com/confirmation.php,458,0,0
1686050350572,552,Acessar Site,200,OK,Usuários Carga 1-24,text,true,,4757,119,202,202,https://www.blazedemo.com/,540,0,0
1686050350678,452,Confirmar Reserva,200,OK,Usuários Carga 1-15,text,true,,5780,376,202,202,https://www.blazedemo.com/confirmation.php,440,0,0
1686050350588,542,Acessar Site,200,OK,Usuários Carga 1-44,text,true,,4757,119,202,202,https://www.blazedemo.com/,530,0,0
1686050350568,566,Acessar Site,200,OK,Usuários Carga 1-156,text,true,,4757,119,203,203,https://www.blazedemo.com/,554,0,155
